id,text,label
8011,"Great Read I thought this book was brilliant, but yet realistic. It showed me that to error is human. I loved the fact that this writer showed the loving side of God and not the revengeful side of him. I loved how it twisted and turned and I could not put it down. I also loved The glass castle.",positive
8012,"A romantic zen baseball comedy When you hear folks say that they don't make 'em like that anymore, they might be talking about ""BY THE SEA"". This is a very cool story about a young Cuban girl searching for idenity who stumbles into a coastal resort kitchen gig with a zen motorcycle maintenance man, three hysterical Italian chefs and a Latino fireballing right handed pitcher who plays on the team sponsored by the resort's owner. As is often the case she 'finds' herself through honest, often comical but always emotional, interaction with this sizzling roster of players. With the perfect mix of special effects, that salsa sound and flashbacks, BY THE SEA, gets 4 BIG stars from me!",positive
8013,"Fashionable Compression Stockings! After I had a DVT my doctor required me to wear compression stockings. I wore ugly white TED hose and yucky thick brown stockings. Then I found Jobst UltraSheer. They gave me the compression I needed (15-20,) but looked like regular pantyhose. Even though my blood clot has been gone for 4 years, I still buy these to wear as support stockings because they make my legs feel so nice.**Note, I have problems with the rubberized tops rolling down my thigh. I tried the Jobst adhesive, but I hated having my skin pulled all day. I bought an inexpensive garter belt and it works fine and helps keep the stockings from rolling.",positive
8014,"Jobst UltraSheer Thigh High Excellent product. However, they are very difficult to get on for older people. I feel like I've had a full day workout after getting them on. Also, as the day wears on, they begin to roll down from the top and create a very deep ridge in the skin. I have to wear them, so if those two difficulties could be addressed it would be such a help.",positive
8015,"Delicious cookie mix I thought it was funny that I bought this product without knowing it was a mix. I read the header very quickly and just thought it was packaged cookies. But no, it is cookie MIX and I guess I should have noticed that since it is right in the title.This is the first time I have ever tried baking with a cookie mix. If you are used to the convenience of the cookie dough that you buy wrapped up in plastic logs then you might be in for a bit of a surprise. Mixing up the dough can get VERY messy (it is extremely sticky). However, with a cookie mix like this you have a lot of flexibility in the ratio of ingredients (I like to add some extra butter to make the baked cookies more chewy). Also, this mix has really large chocolate chips in it--I love that.I removed a star for the addition of 'natural flavors' in the mix.",positive
8016,"A fascinating insight into the life of modern Japanese teens I thoroughly enjoyed Rising Sons and Daughters. I don't know of any other book that looks at Japanese society from the point of view of its young people poised as they are between their parents' age-old Japanese culture of restraint and obedience to the will of the community, and their peers' adulation of Western culture. True to form, the ""New Young"" of Japan seem to be creating an ""international"" blend, as the Ando family demonstrates in this beautifully written book of vignettes of the private lives of members of this family. Steven Wardell is clearly a talented young author, adopted for some of his schooling into this family of four teens, and thus able to view family life in Japan from the inside out. A great read!",positive
8017,"i liked this album more then i thought i would I heard a song or two and thought same o same o,but when i listened to songs like ""blue angel"",""lanna"" and 'mama"" the hair just rose off my neck.Roy is trully an amazing singer with a talent you don't find much now days.",positive
8018,"Based on the reviews here I bought one and I'm glad I did! This VCR/DVD was an early Christmas present to myself after deciding to join the rest of the world in DVD-land but not wanting to let go of my VHS movies quite yet. Based on the reviews and price, and because I own a JVC TV, this was my choice. I agree with the easy set-up. It's a bit awkward to work the whole TV/VHS/DVD selection options but I think I've gotten the hang of it.Two comments: it's not intuitive and actually is pretty complicated (too many buttons on the remote but that might please others who are more technically-minded than me) so I've had to rely heavily on the how-to manual. And setting the VCR timer is awkward -- you can't enter the start and end time but have to scroll (unless I'm missing something)...but those are my only complaints. This is a good product for your $$$.",positive
8019,"happy with it...but I'm a JVC nut...I have 3 JVC televisions, one VCR, one bookshelf audio system and car audio system. So when it came time to move the VCR player to the boys room and get another one for the old man I knew what make it was going to be. I decided on the combo player because I don't think VHS is going to be around much longer. I like my combo player except for 2 things:(1)no cable box compatability on the remote control (2)no seperate audio video inputs only input for coax cable from my cable box so all of the cable programming is in mono...wife can't tell the difference in the sound so if she's happy then I'll just live with it. VCR and DVD look and sound GREAT!!!!!!!",positive
8020,"Is this great TV??? You bet it is Hotel Babylon is not just good TV...it's great TV!!!! The show features some incredible acting from Tamzin Outhwaite (formerly of EastEnders, a BBC soap) and Max Beesley (from the ill-fated movie ""Glitter"" starring Mariah Carey). The show could make for a great drama series, but I felt that it is a mix of a drama, comedy, and soap opera all mixed into a great BBC show. The show aired on BBC America for a while but didn't get around to seeing it. I can now say that I got the DVD set and all the episodes are great. The season finale was an interesting to watch.The show reminds me of Hotel which aired on ABC from 1983 to 1988. The reason...Hotel was set at a fictional San Francisco hotel as Hotel Babylon was set at a luxury five-star hotel in England.I recommend this DVD to anyone who is willing to watch a great show from the BBC.",positive
8021,"Rochelle explains It All for You Wondering what the hell has happened to the moral aspect of modern American culture ? This book is a lucid, well argued explanation of the simple fact that we have become so totally focused on our individual RIGHTS that we have completely ignored, and even mocked, our personal and public responsibilities. The final response and indictment of Robert Ringer's best seller, LOOKING OUT FOR #1. This is a great time for anyone who is disgusted with the boorish state of American media, politics and discourse in general, to clear their heads for the substantial challenges that lie before us not only as Americans, but as human beings. A great book",positive
8022,"More great playing Larry's work for the Muse label in the late 80s and early 90s found him exploring the rich catalog of jazz standards that he probably grew up playing. Surrounding himself with the best musicians around, Larry sounds relaxed, focused, and totally in control. Listen to Larry's take on ""My Funny Valentine"" and tell me it doesn't stand right up there with Chet Baker's or Miles'. A very fine album that you'll enjoy again and again.",positive
8023,Alaska sourdough REad most of the book while visiting my brother in Alaska. Loved it. I am going to be making my sourdough starter soon. Book is full of great stories and recipes.,positive
8024,"Old and good This book is worth to keep in your collection as it does not only advise what to do with sourdough but Ruth also told you what the picture of past 100 years ago in Alaska where no stand mixer nor any civilized stuffs in kitchen, just a pot of sourdough.",positive
8025,"autumn got this for my daughter in NC, she is now making prefect bread. Wish she lived closer to make me some",positive
8026,"Fast mp3 download of music waxed decades ago One of these 26 songs played as background music on a YouTube video of some kind of gymnastic or dance feat out of Russia. I hunted down the melody, read the English lyrics, then decided to see what else was in the album. Downloaded the full album for $15 via Amazon mp3 downloader, and now happily listen to the melodies (interspersed) on my iPod.",positive
8027,"Sylvania 6620LDG 20"" Flat Panel LCD TV with Built in DVD player Light weight, space saving very attractive design. Sharp Picture, Good sound quality and quick response time. DVD playback also excellent. Only negative is its remote control. It is hard to read the functions of the keys due to color choices. The placement of the keys are almost illogical and you have to look at it carefully before each use. It almost seems like it was designed by an imbecil. The quality, the features and the price still makes this TV an excellent buy.",positive
8028,"Kitchen TV I bought this to replace a 13"" tube tv in my kitchen. What I gained was a larger screen plus relcaiming the counter space. The picture is good, and the internal DVD player is a bonus. All in all, a good purchase.",positive
8029,"Nice for the money The first one I bought was defective. The DVD didn't work at all. I purchased it from Electronics Express and when I contacted them they were wonderful. They gave me an RMA number right away, Fedex picked it up the next day and a new one arrived 1 week later. This one is just fine. I really love the clarity of the picture. My only complaint is that in DVD mode, the sound isn't loud enough. I have it in my RV and with the A/C running, I can barely hear it. I solved the problem by running an audio out jack from the TV to the input on the RV stereo speaker system. It's very lightweight and easy to move around and store. A bonus for the RV. The remote isn't great, but it works just fine and the video/audio jacks and antenna input are easy to get to as is the DVD player. All in all, it's a great deal for the price.",positive
8030,"Great travel guide to Europe! This book is realy great for everybody who likes to travel Europe. The combination of good pictures, illustration and texts is perfect. You get a good overall view for the most important sights, places, cities and countries in Europe and also a bit of historical information. As a European who already traveled a bit I still could find a lot of inspiration to more interesting places to go. Thank a lot to Eyewitness Travel for there great books!",positive
8031,Good but received defective book I bought this book because we are moving to Germany and I wanted to get a good overview of all the countries in Europe that we could travel too. Unfortunately pages 457-480 on Greece are not in English - looks to be Spanish. There was some sort of printing problem! But I found the rest of the book to give good highlights of the countries.,positive
8032,"From The Label: From Memphis, TN. comes The Reatards, fronted, of course, by wild kid Jay Reatard. He starting off on Eric Oblivians label, Goner, at the tender age of 15. Jay, now 19, is still rocking and offending the sensibilities of his community. Overdriven, loud, crackling guitars underlaying Jay's southern crooning howl energizes some of the most amazing hate-filled song writing we've heard in years.",positive
8033,"Hunting the Hard Way Thia was a gift for my Husband, who loved the book. It arrived on the date we were told it would.",positive
8034,"Homer or Moses? An extremely helpful gem on a complex subject of second century religious authority and textual use. For anyone serious about this period and the interelation of cultures, this book is essential. Is it complex and detailed? Of course, it must be to argue the point. Should you buy it? Yes, unless you want to keep running back to the library. I write this only after thoroughly disagreeing with the review above.",positive
8035,"unknown Africa You don't expect music from africa to be so profesionally produced. Me from the white world, don't understand the lyrics, but we do understand the music which is a mixture between salsa, soukous and fado with always the african feeling for rithem. The soft almost borred voice of Oliver N'goma fits pefectly in the music. The CD is recorded in France Paris, you can hear that professionals have been working on the CD. A must for a hot, lazy night.greetings Arno, Amsterdam",positive
8036,"Definitely enjoyed! This was a gift for my 6 yr old daughter. She is a big Barbie fan as well as loves to use the computer. She is still enjoying this game. She completed it in a few hours which worried me at first, but she loves to do it over and over again. The music is enjoyable and the colors are vibrant. It seems to be very user friendly also....my daughter has not really needed my help to use it once she started it the first time.",positive
8037,"Even Mommy has fun with this one! My four year old daughter loves everything Barbie and loves the Rapunzel movie. This game is tons of fun, even for a 42 year old. We love playing it together. We love decorating all the rooms and finding the gems. What even better is, she can play it alone and I get some me time!",positive
8038,Great combination of creativity and adventure My 4 year old daughter has been addicted to this game. She plays it over and over again. She loves the opening song and has been singing it non stop. She gets excited each time she completes a room and finds a gem and loves solving the maze to find Prince Stefan. The only problem is that she sings the song so much I can't get it out of my head!,positive
8039,Rapunzel This is such a great game both my 3 year old son and 7 year old daughter love it. I like to play to if they would let me! So much fun decorating the rooms and so many choices to keep you playing Great game. Not at all what you would think a Barbie game would be. Great fun for all!!,positive
8040,"Barbie as Rapunzel: A Creative Adventure I purchased this software for my 5 year old granddaughter and she loves playing it so much. She lets me play it sometimes, but she doesn't always like what I come up with. I plan to purchase other software programs for her.",positive
8041,"Use your imagination! My 3 year old daughter & I both love this software. We actually fight over who is going paint the pictures or choose the themes for each room. This game allows you to be creative & use your imagination by ""decorating"" each room of the castle and finding the missing gems to the prince's crown which gives Rapunzel the power to find Prince Stephan who has been turned to stone & bring him back to life. The music & animation is the best I have seen. Most of the kids software that I've seen is boring to me as an adult, but this is not at all. I sometimes like to play it without her! There are so many variations on color schemes & patterns & that you can never be bored. I highly recommend this for girls of all ages.",positive
8042,"Smells divine. This is my second bottle of sheer freesia, I just love this fragrance, its a light delicate sent, beautiful, like a summer day.",positive
8043,"Creepy Wow, what people will do behind jealousy and revenge - there are some doors you should not open, and if you do - be prepared for what you find behind it!",positive
8044,"Sooo JAMMIN', too trill Man, some more jammin tracks from the SUC. This is Pokey's first official record....and sh** is sooo real. Love the production, everything is real nice & screwed out. This is among the last of the great SUC records. Not to say they've fallen off....just they've downsized so much with the deaths of the screw pioneers. Sad but true. If ya love Tx rap, you've gotta get this 1. Somethin to kickback & blow big too, somethin to jam in the ride. So underrated, right here. I wish people would forget all the bullsh** on BET/MTV and check what's happening in Houston. But i guess...it's sadly almost too late. Pat's gone, hawk's gone...screw, Moe, Pimp C, Big Steve. Makes me sad. Regardless, Pokey is still alive and making new music, keeping the legacy alive. And this is a great place to start with him. Classic record. Love it, man",positive
8045,"Dirty South This is probably the best southside CD to ever come out. Pretty much every song has a guest or 2 on the track. From the late Fat Pat, to Botany Boys, Mr. 3-2, Big Steve, Chris Ward, H.A.W.K, and many more. This is how a southside CD should always be.",positive
8046,"Good book Well written chronicles of The Farm from the people who lived it. Excellent photos as well.I kept looking for a photo of me and my then-wife, but I wasn't there long enough. But shewas :-)",positive
8047,voices from the farm i have a copy of this book and love it and can't wait til the revised version comes out in a few weeks,positive
8048,"Little one, maid of Israel Bill Harvey has a wonderful gift of making history come alive in this book. This book awakens a sense of wonder at the possiblility of a real relationship with God as you follow the faithfulness of one little girl in ancient times. Young girls ages 5-15 will love this book. It has always been one of my most loved treasures, a real Keeper !",positive
8049,"comfy,warm.. but run big just like the title says. Warm, comfy but run a size too big. I don't wear them out as they are just for lounging, so it's not that big of a deal for me.",positive
8050,"Why is SOULWAX ignored by critics & consumers alike?! I just don't get it - SOULWAX has been around since the 90s, when they released their ""rock"" debut (on the now defunct Almo Sounds), chock full of should-have-been radio hits, and then when while they got some attention for their ""2 Many DJs"" mash-up/remix bootlegs, when they return to a full-fledged band, as with last year's ANY MINUTE NOW, critcs & consumers alike barely took notice of that album's amazing writing, production, and sheer electro-rock power. Hopefully, ""Nite Versions"" (a cheeky title recalling when 80s bands like Duran Duran used to release ""Nite Version"" on 12"" of singles for clubs) will garner more sales and attention for SOULWAX - the songs practically leap out of the speakers to grab your neck and turn you head and make you move. Can't wait to hear what they do TIGA on his upcoming ""Sexor"" debut...?",positive
8051,"OMG Soulwax owns wow - this is like the most amazing album ever. Every track so rocks...specially1) E-talking2) NyLipps3) I love Techo.great job guysMusicChoice played their whole album this Saturday night..and I was jamming to it the whole time going ""wow"".one more thing, if you're not into House/Techno/electronic then you don't want none of this, cause you won't feel it.",positive
8052,"Thank you for Releasing it!!!!! I loved this movie as a kid and I am so happy the powers that be have decided to release it finally! If you want to see a great 80's movie, this is it!",positive
8053,"Very fun and educational Trains, shapes and pegs - a winning combination, guaranteed to make both the child and the parent happy. Good starter puzzle for the 1 yr old range.",positive
8054,"Artistry I think that the Deodato concerts are very rich, as he used real strings and band musicians, as well as you can appreciate the John Tropea excelent renditions on guitar.",positive
8055,textbook Book shipped quickly and was in excellent condition as stated. Easy transaction would buy again,positive
8056,"a great book for Historical romance lovers This is an engaging a count of life of Tess a girl who at a young age washed up on the shore of the Isle of May. With no memory of the life before then, she stays with the old caretakers of the isle. After the caretakers are dead a young man, Colin Macpherson washes up on shore. Colin takes Tess back with her to his castle where he helps her uncover her past. They are opposites,but you know what they say opposites attract. This book is just one of many in the Avon True Romance series. I have read every book in the series and I know that if you like this book you love the rest. This is a great book for girls about 10 to 16 because it is still a romance novel, but not what you call a trashy romance novel. It is a great novel fokr those who are just getting into romance novels.",positive
8057,"YES!!! When I got this book, I wasn't expecting much, but man was I wrong! I loved this book! Now I may not usually be tied in by a man with long blond hair wearing a kilt, but the authors really made Colin into this enchanting Highlander. Tess is a very soft heroine. While she sometimes seems too guillible, I have to remember that it is part of the story. This is one of my favorite books in the series.",positive
8058,"Very authentic This is my first encounter with Yoruba and I have to say that CDs are really helping. However, the book is very short and not particular about certain aspects and details of grammar and other nuances - for someone who NEVER spoke Yoruba and doesn't have anybody to ask for a clue, it leaves a lot of questions unanswered - for this, however, there are hopefully other Yoruba textbooks.On the brighter note, I would like to add that the book does a very good job in giving a little insight on Yoruba people and Yoruba culture in general. I would recommend it as a good start book for anyone who wants to learn Yoruba - you can't go wrong with it.",positive
8059,You need a good memory I play this with my grandchildren. It teaches us both the value of a good memory and is challenging for all. You sometimes miss the most obvious. Lots of fun--tic tac toe with a twist!,positive
8060,"Kelly Club Pet Parade at HIT!! My Daughter Loves IT!! My 4 year old daughter LOVES this game. She sings the ""Strike Up The Band and Clap Your Hands for Kelly's Pet Parade!"" song around the house. She can dress the Kelly kids, ""train"" each pet (teach the pony to jump, etc.), clean and get the animals ready for the parade (paint the elephant's toe nails, etc.), and decorate the floats...all by herself. She'll get everything ready (showing me everything she has accomplished along the way) and then we'll watch her special parade. A wonderfully cute game that I highly recommend.She can mostly do the entire game on her own. I have it installed on a laptop so she is actually using the inset mouse and can still do the game. The only one she has a tough time with is the Polar Bear catching fish game. It's tricky to move your finger on the mouse pad and click at the same time to catch the fish. It would be much easier using a regular mouse.",positive
8061,Loads of fun! My 6-year old and 5-year old both really enjoy this game. Has lots to do with several different animals to prepare for the parade. You get to design a float and it just endless fun! Graphics and animation are very colorful and cute. It's a winner!,positive
8062,"Hours of Fun for my 4 and 6 year olds We purchased this game a year ago and my girls still love to play it. Lot's of activities, they love to decorate the floats and watch the parade.",positive
8063,slip on 2 1/2 in. heel shoes i am completely satisfied in the manner my order was delivered.the shoes are just as awesome as the advertisement showed them to be.,positive
8064,"DDR is cooool! This cd is really great.BUT ITS NOT A GAME!they're not long versons though, only 90 odd seconds each.If that Claire, also from the UK (who was disappointed with the cd) wants to get in touch, i know where you can get games with the songs you want.I'm assuming you're after all the cool songs from euromix.If so, they are on 2nd and 3rd mix games from japan.but there are also US versions available too.",positive
8065,Amazing i have ordered this cd of here but it will take abit to get to me as i live in England. But i have danced and sang along to it at the arcades ive been to and i think its great if you love to dance. My favorite songs are what a feeling and in the navey!! i also like captain jack but i love them all..,positive
8066,"MORE THAN LETTERS... I admit that I bought this album for the title track alone. After all, had that been the only good track on this CD I still would have felt that it was worth my money.But the title track is just the beginning for this fine country offering by John Michael Montgomery. I found myself listening to and enjoying every track on LETTERS FROM HOME. Montgomery's smoother-than-silk voice is one of the finest in country music today and his straight-forward approach to his music comes through in every note. You won't want to miss this one.THE HORSEMAN",positive
8067,"Worth the wait! JMM has never released a bad album. Many would say this is a comeback album but every couple of years he releases an album with great hits. For some reason, radio hasn't played some of his great songs from his latest albums. ""Goes Good With Beer"" and ""Little Devil"" would be great singles to spice up country radio. ""Letters From Home"" deserves to be single of the year and ""Cool"" is not far behind. The more I listen to the album, the more I love it.",positive
8068,no good I gave it 5 stars because my little dog had so much fun riping it apart but only took him 24 hrs to do it buy that is 23 hrs longer than other balls,positive
8069,"ESTE LIBRO CONTIENE TODO LO QUE PENSE QUE NO ME INTERESABA SABER SOBRE EL BOX Y SUS CAMPEONES...PERO ME CAUTIVO Y LO LEI HASTA EL FINAL !AHORA SI PUEDO DISCUTIR DE BOX CON MI ESPOSO Y MIS CUÑADOS...¡Y HASTA CON MI SUEGRO, QUE ES EX BOXEADOR !",positive
8070,"Oh! This cereal is so sweet....yet so good for you! One taste=ADDICTION!!!! I just tried this cereal out of curiousity and I was hooked! It is an excellent breakfast choice, or just any time to eat! Especially as breakfast because you will crave more honey taste and you won't be hungry later {probably because of how much you'd eat} and it is actually sweeter and better than Honey Bunches of Oats. Cap'n Crunch Berries is an option, but this splendid cereal is SO FILLED WITH A HONEY-FILLED TASTE! I have not tried much better tasting cereal than this! Oh!",positive
8071,"Delicious and Addictive This cereal is great because it tastes so good. You just crave it. But a word of warning: read the label. Last time my husband and I looked, it had saturated fat! All the other cereals in our cabinet did not... hmmmm. Another reviewer noticed this problem too!Also, Amazon's price of $23 is outrageous. It is between $1.99 to $2.50 in our stores.",positive
8072,"Oh where Oh where have my Oh's gone? I was really distraught to go to my local Walmart and see that they stopped carrying my favorite cereal. But as was elated to find that ""the site who has everything including a church"" made it available to me by the 6-pack. Oh's is an amazing cereal. The one thing i dont like is the box is so small. I get maybe 3 bowls out of the entire box:-(.",positive
8073,One of a kind book for timber frame building. My husband loves this book. He said he has learned so much and that this was the best book to learn how to build a timber frame house by.,positive
8074,Hanford Mills museum My friend is a master carpenter and he saw this book at a recent trip to Hanford Mills museum.He is an avid reader and loved the book so much that I am inclined to read it as well!! Enjoy.,positive
8075,"Outstanding guidebook for building your own timberframe home My wife and I built a hybrid timber frame home using this book as a guide. Although we have construction skills, this book was invaluable in guiding us through the process. We can't wait to build another. We highly recommend this book to anyone considering a timber frame house.",positive
8076,"A very good how-to manual. If you are expecting a book full of glossy sharp pictures, this is not the one to buy.A lot of drawings and BW pictures that inform what they need to. This is a very good manual for those who want to venture in a timber frame project.",positive
8077,Great Graphics! 2006 Coast to Coast for PC is great! The graphics are awesome... The game is what I had hoped for and a lot more!!,positive
8078,"My Henry I had Henry back in the 70's. I don't remember him with a nose since it was chewed off, but he was well loved. He's long gone and I thought I was the only one who ever had a Henry since nobody knew what I was talking about. I can't believe I've found him again!! Nobody can replace my original worn Henry, but I'm so excited to have his clone back!!",positive
8079,Henry has come home... I had Henry back in the early 70's. I am forty now and still have my original. I bought a new one for my Dad who is ill because I knew he would get the significance. Henry got me through the insecurities I had as a child and I am hoping he does the same for my Dad as he battles terminal cancer.Thanks for making him again.,positive
8080,"Charisma What it is about ""Henry Dog"". My daughter was 6 when we gave her Henry. Love is not the word. Obsession! A few years later my ex-wife decided he had to go. Under the guise of an ""incurable"" lice infection my ex-wife threw him out. Trauma followed. We bought a replacement which my daughter has safely on her closet shelf. He is thread bare. I found him online and was overwhelmed to read the reviews at Amazon.com. None had less than 5 stars. Each story told how this little guy had touched their lives. These Henry owners, both girls and boys, cherished him as if he had been a ""real"" dog. I guess to them, he is. Daddy had to buy his little (40 year old) daughter a new one. I got both the 14"" and 3"". I was on the phone when she opened the box..... Henry was home again. My granddaughter saw Henry got excited and wanted one also. She is 19 years old. This company should bottle ""Henry Dog`s"" charisma. Thanks for keeping him alive.",positive
8081,"I found it! Henry Dog! I had two Henry Dogs. One I lost in a ride at Walt Disney World, the second to replace it. I have no idea where Henry got to. But now that I found ""him"", I will have my friend again. I had this toy from the time I was six years old, almost 40 years ago, and I think I'll be seeing him again around Christmas time. It's a sweeet toy and really good for children of *all* ages!",positive
8082,"A Contemporary Fairytale Sure to Delight! While this book is a take-off on the classic Snow White, it's a fairytale for grown ups with some class act characters and a rich and rewarding love story. I thoroughly enjoyed reading it, and look forward to more of Ms. Sinclair's works.",positive
8083,great gift my brother in law was thrilled with the clarity and instructional commentswill be looking for more titles by her,positive
8084,Sony basic Hi8 Handycam Rocks! Performance is outstanding. I had a previous Sony 8 mm Handycam which died and I replaced it with this camera so I could continue to playback my old 8 mm tapes. This camera performs faster and is simpler to use than my old Sony. It does everything I need and does it well... I got a great deal.,positive
8085,"80's High Tech with Rock Emotion Although all of Mr Hines work is high quality, Waving Not Drowning (for me) is the highlight of the 3 A&M projects. The song ""Curious Kind"" is simply a masterpiece!The remastering is of the quality you have come to expect from one of Rock's greatest producers, song writers, and performers.GET IT!",positive
8086,"Now, The Rest of the Story I knew there was something missing from the first book when I read it, because it didn't match what I heard her say years ago when she came to my church to speak. Now I know, the abuse was so difficult for her to talk about even when she wrote a book about it. Later, with the help of a trusted friend, she was able to tell the most difficult and abusive parts of her childhood experience. This what the second book is about. The most wonderful thing about Dorie, is that she is able to forgive her abusers and move on with her life. She is still able to have a successful and happy life, in spite of the horrendous abuse of her childhood. This is what so many women need to hear. With the Lord's help, it is possible!",positive
8087,"The baseball benchmark I didn't refer to Baseball America as such. It was Cardinals GM Walt Jocketty who said it. And who am I to contradict? The best columnists in the game, from Peter Gammons, Tracy Ringolsby and Jayson Stark, to detailed information in ALL of baseball, from the Major Leagues to Japan, stats, scores, and the best and most extensive resource on prospect information, there's not a single serious fan in all of baseball who deserves such a title if is not a Baseball America subscriber. You got to read it if you want to know the stars of tomorrow (being tomorrow 6 years or 2 months). Top 10 prospects from every team till its massive Top 100 list, Baseball America covers it all. I know, I have been subscribed for 2 years now, and I can't think of living without it!",positive
8088,"Perfect for the die-hard baseball fan I have read Baseball America off and on over the years and finally took the plunge and got a subscription. This is the best place to get coverage of the minors, college, and high school baseball so you know about the top prospects before others do.",positive
8089,"This was an intriguing book that influenced my destiny. I read ""Trouble on Titan"" around 1970, when the Apollo program was at its apex, and the human exploration of the Solar System seemed only a short step away. My review is based on old memories, but I can still remember a mining colony on Titan and jet craft using oxygen for fuel and burning Titan's methane atmosphere. We've learned much since this book was written, and Titan's atmosphere has less methane than we originally thought. However, this book was well written, and I am sure will intrigue my son as much as it intrigued his father, who is now working at NASA on the Cassini/Huygens mission to Saturn and Titan. This book has that old-style sci-fi flavor that made another world seem more like reality than fantasy. I think if you enjoyed the Lucky Starr and David Starr stories by Asimov, you will enjoy ""Trouble on Titan.""",positive
8090,"Peek a Fun! We got these as a gift for our one year old. He loves them! He tries very hard to get all the little things out of the blocks - and obviously fails. He loves that some of them move, some of them jiggle, some of them make noise - its almost an adventure!The three year old also loves them because they incorporate the alphabet and he can easily identify the items inside: B - Banana, P - Penguin, U - Umbrella, Z - Zebra.Bonus - when the 1 y/o gets frustrated because he can't pry the items out of the block no matter how hard he tries, he usually flings them. The 3 y/o tends to use them to build walls or towers for the sole purpose of smashing another toy into them, or dropping them off high places. And I've stepped on two of them already. They seem to tolerate this treatment rather well.",positive
8091,"Excellent product These Alphabet blocks are so beautiful they could be classed as works of art or collectors items. I have purchased two seys as gifts and will probably buy more,",positive
